segment,idx,rho_kpc,inc_deg,alpha_deg,h5
seg1,58,40.701249476128226,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0058_r040.70_i023.00_a000.00.h5
seg1,59,39.18799089028369,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0059_r039.19_i023.00_a000.00.h5
seg1,60,37.721026565432716,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0060_r037.72_i023.00_a000.00.h5
seg1,61,36.29985199742443,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0061_r036.30_i023.00_a000.00.h5
seg1,62,34.92389298837995,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0062_r034.92_i023.00_a000.00.h5
seg1,63,33.59251227376492,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0063_r033.59_i023.00_a000.00.h5
seg1,64,32.30501589639137,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0064_r032.31_i023.00_a000.00.h5
seg1,65,31.060659316880297,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0065_r031.06_i023.00_a000.00.h5
seg1,66,29.858653252575607,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0066_r029.86_i023.00_a000.00.h5
seg1,67,28.69816923919084,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0067_r028.70_i023.00_a000.00.h5
seg1,68,27.57834491157827,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0068_r027.58_i023.00_a000.00.h5
seg1,69,26.498289001951203,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0069_r026.50_i023.00_a000.00.h5
seg1,70,25.457086055652688,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0070_r025.46_i023.00_a000.00.h5
seg1,71,24.45380086616307,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0071_r024.45_i023.00_a000.00.h5
seg1,72,23.487482632470087,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0072_r023.49_i023.00_a000.00.h5
seg1,73,22.557168843201726,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0073_r022.56_i023.00_a000.00.h5
seg1,74,21.66188889304304,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0074_r021.66_i023.00_a000.00.h5
seg1,75,20.800667437938532,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0075_r020.80_i023.00_a000.00.h5
seg1,76,19.97252749642037,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0076_r019.97_i023.00_a000.00.h5
seg1,77,19.176493305115436,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0077_r019.18_i023.00_a000.00.h5
seg1,78,18.411592937073365,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0078_r018.41_i023.00_a000.00.h5
seg1,79,17.676860692034797,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0079_r017.68_i023.00_a000.00.h5
seg1,80,16.971339268130347,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0080_r016.97_i023.00_a000.00.h5
seg1,81,16.29408172477697,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0081_r016.29_i023.00_a000.00.h5
seg1,82,15.644153246723858,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0082_r015.64_i023.00_a000.00.h5
seg1,83,15.020632719307471,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0083_r015.02_i023.00_a000.00.h5
seg1,84,14.422614125007692,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0084_r014.42_i023.00_a000.00.h5
seg1,85,13.849207771366059,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0085_r013.85_i023.00_a000.00.h5
seg1,86,13.299541360236528,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0086_r013.30_i023.00_a000.00.h5
seg1,87,12.772760908198274,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0087_r012.77_i023.00_a000.00.h5
seg1,88,12.268031527774186,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0088_r012.27_i023.00_a000.00.h5
seg1,89,11.784538078873544,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0089_r011.78_i023.00_a000.00.h5
seg1,90,11.321485699620442,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0090_r011.32_i023.00_a000.00.h5
seg1,91,10.87810022544356,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0091_r010.88_i023.00_a000.00.h5
seg1,92,10.453628504995834,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0092_r010.45_i023.00_a000.00.h5
seg1,93,10.047338621145675,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0093_r010.05_i023.00_a000.00.h5
seg1,94,9.658520024942336,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0094_r009.66_i023.00_a000.00.h5
seg1,95,9.28648359010748,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0095_r009.29_i023.00_a000.00.h5
seg1,96,8.930561595248525,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0096_r008.93_i023.00_a000.00.h5
seg1,97,8.590107640629215,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0097_r008.59_i023.00_a000.00.h5
seg1,98,8.264496505971591,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0098_r008.26_i023.00_a000.00.h5
