segment,idx,inc_deg,alpha_deg,npz
seg2,86,2.814060869033715,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0086_inc002.81_a000.00.npz
seg2,87,3.432054185984825,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0087_inc003.43_a000.00.npz
seg2,88,4.095005871849479,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0088_inc004.10_a000.00.npz
seg2,89,4.798493791980456,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0089_inc004.80_a000.00.npz
seg2,90,5.538095811730519,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0090_inc005.54_a000.00.npz
seg2,91,6.309389796452445,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0091_inc006.31_a000.00.npz
seg2,92,7.107953611498975,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0092_inc007.11_a000.00.npz
seg2,93,7.929365122222886,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0093_inc007.93_a000.00.npz
seg2,94,8.769202193976959,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0094_inc008.77_a000.00.npz
seg2,95,9.623042692113927,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0095_inc009.62_a000.00.npz
seg2,96,10.48646448198657,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0096_inc010.49_a000.00.npz
seg2,97,11.355045428947655,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0097_inc011.36_a000.00.npz
seg2,98,12.224363398349945,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0098_inc012.22_a000.00.npz
seg2,99,13.089996255546207,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0099_inc013.09_a000.00.npz
seg2,100,13.947521865889204,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0100_inc013.95_a000.00.npz
seg2,101,14.792518094731705,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0101_inc014.79_a000.00.npz
seg2,102,15.620562807426479,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0102_inc015.62_a000.00.npz
seg2,103,16.427233869326276,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0103_inc016.43_a000.00.npz
seg2,104,17.208109145783865,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0104_inc017.21_a000.00.npz
seg2,105,17.958766502152013,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0105_inc017.96_a000.00.npz
seg2,106,18.674783803783505,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0106_inc018.67_a000.00.npz
seg2,107,19.35173891603107,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0107_inc019.35_a000.00.npz
seg2,108,19.98520970424749,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0108_inc019.99_a000.00.npz
seg2,109,20.57077403378553,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0109_inc020.57_a000.00.npz
seg2,110,21.104009769997962,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0110_inc021.10_a000.00.npz
seg2,111,21.580494778237536,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0111_inc021.58_a000.00.npz
seg2,112,21.995806923857028,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0112_inc022.00_a000.00.npz
seg2,113,22.34552407220921,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0113_inc022.35_a000.00.npz
seg2,114,22.625224088646828,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0114_inc022.63_a000.00.npz
seg2,115,22.83048483852265,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0115_inc022.83_a000.00.npz
seg2,116,22.95688418718946,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0116_inc022.96_a000.00.npz
seg3,0,23.0,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0000_inc023.00_a000.00.npz
seg3,1,23.0,2.011173184357542,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0001_inc023.00_a002.01.npz
seg3,2,23.0,4.022346368715084,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0002_inc023.00_a004.02.npz
seg3,3,23.0,6.033519553072626,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0003_inc023.00_a006.03.npz
seg3,4,23.0,8.044692737430168,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0004_inc023.00_a008.04.npz
seg3,5,23.0,10.05586592178771,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0005_inc023.00_a010.06.npz
seg3,6,23.0,12.067039106145252,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0006_inc023.00_a012.07.npz
seg3,7,23.0,14.078212290502794,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0007_inc023.00_a014.08.npz
seg3,8,23.0,16.089385474860336,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0008_inc023.00_a016.09.npz
seg3,9,23.0,18.100558659217878,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0009_inc023.00_a018.10.npz
seg3,10,23.0,20.11173184357542,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0010_inc023.00_a020.11.npz
seg3,11,23.0,22.122905027932962,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0011_inc023.00_a022.12.npz
seg3,12,23.0,24.134078212290504,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0012_inc023.00_a024.13.npz
seg3,13,23.0,26.145251396648046,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0013_inc023.00_a026.15.npz
seg3,14,23.0,28.156424581005588,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0014_inc023.00_a028.16.npz
seg3,15,23.0,30.16759776536313,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0015_inc023.00_a030.17.npz
seg3,16,23.0,32.17877094972067,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0016_inc023.00_a032.18.npz
seg3,17,23.0,34.18994413407821,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0017_inc023.00_a034.19.npz
seg3,18,23.0,36.201117318435756,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0018_inc023.00_a036.20.npz
seg3,19,23.0,38.212290502793294,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0019_inc023.00_a038.21.npz
seg3,20,23.0,40.22346368715084,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0020_inc023.00_a040.22.npz
seg3,21,23.0,42.23463687150838,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0021_inc023.00_a042.23.npz
seg3,22,23.0,44.245810055865924,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0022_inc023.00_a044.25.npz
seg3,23,23.0,46.25698324022346,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0023_inc023.00_a046.26.npz
seg3,24,23.0,48.26815642458101,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0024_inc023.00_a048.27.npz
seg3,25,23.0,50.279329608938546,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0025_inc023.00_a050.28.npz
seg3,26,23.0,52.29050279329609,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0026_inc023.00_a052.29.npz
seg3,27,23.0,54.30167597765363,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0027_inc023.00_a054.30.npz
seg3,28,23.0,56.312849162011176,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0028_inc023.00_a056.31.npz
seg3,29,23.0,58.324022346368714,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0029_inc023.00_a058.32.npz
seg3,30,23.0,60.33519553072626,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0030_inc023.00_a060.34.npz
seg3,31,23.0,62.346368715083806,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0031_inc023.00_a062.35.npz
seg3,32,23.0,64.35754189944134,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0032_inc023.00_a064.36.npz
seg3,33,23.0,66.36871508379889,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0033_inc023.00_a066.37.npz
seg3,34,23.0,68.37988826815642,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0034_inc023.00_a068.38.npz
seg3,35,23.0,70.39106145251397,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0035_inc023.00_a070.39.npz
seg3,36,23.0,72.40223463687151,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0036_inc023.00_a072.40.npz
